Model,Mean Absolute Error (MAE),Root Mean Square (RMS),Standart Deviation
Baseline,85.05344698802573,190.60820297717706,190.60799178735243
Trainning,26.082111,78.06598,77.969124
Validation,25.985992,54.66225,54.558395
Test Output 1,15.735389899784959,51.61872278161916,51.618596209537955
Test Output 2,22.080111825387704,65.76745023127769,65.75180889283774
Test Output 3,25.42579640729787,71.38653393222415,71.34015954014932
Test Output 4,27.581444469525003,75.02601442413065,74.94827065000943
Test Output 5,29.41855897473667,78.19110151868598,78.04271734724297
Test Output Mean,24.048260315346443,68.39796457758753,68.34031052795548
